#baryon fraction in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,fb_mean,fb_errl,fb_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean baryon fraction in the bin,"1sigma error of baryon fraction, lower end","1sigma error of baryon fraction, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5,7.5,8.5,8.85184e+07,531576,536776,0.561663,0.00127735,0.00129855
5,7.6,8.6,1.0949e+08,726520,729536,0.597075,0.00135598,0.00135816
5,7.7,8.7,1.34424e+08,979568,979763,0.631783,0.0014194,0.00140862
5,7.8,8.8,1.68258e+08,1.36367e+06,1.37399e+06,0.668851,0.00146297,0.00144942
5,7.9,8.9,2.11663e+08,1.88185e+06,1.9154e+06,0.704523,0.00151682,0.00148219
5,8,9,2.65513e+08,2.6447e+06,2.64304e+06,0.736656,0.00150517,0.00150228
5,8.1,9.1,3.32318e+08,3.63444e+06,3.68174e+06,0.765688,0.00150133,0.00149304
5,8.2,9.2,4.14707e+08,5.05018e+06,5.09031e+06,0.790153,0.00149594,0.00148477
5,8.3,9.3,5.23127e+08,7.13674e+06,7.12297e+06,0.811378,0.00150205,0.00149888
5,8.4,9.4,6.50725e+08,9.71125e+06,9.82323e+06,0.829781,0.00150045,0.00148202
5,8.5,9.5,8.10071e+08,1.35205e+07,1.3749e+07,0.844402,0.00146755,0.00146123
5,8.6,9.6,1.01339e+09,1.91046e+07,1.91839e+07,0.856064,0.00153634,0.00150816
5,8.7,9.7,1.26768e+09,2.70529e+07,2.72254e+07,0.866501,0.00151506,0.00151742
5,8.8,9.8,1.56706e+09,3.66611e+07,3.71007e+07,0.875128,0.00158787,0.00157564
5,8.9,9.9,1.96268e+09,5.19649e+07,5.32338e+07,0.881205,0.00166056,0.00165606
5,9,10,2.45741e+09,7.23432e+07,7.46143e+07,0.886335,0.00172707,0.00173103
5,9.1,10.1,3.11781e+09,1.05536e+08,1.09248e+08,0.889242,0.00189564,0.0018752
5,9.2,10.2,3.83148e+09,1.45338e+08,1.49419e+08,0.891868,0.00206731,0.00205087
5,9.3,10.3,4.75346e+09,1.97582e+08,2.06136e+08,0.894007,0.00219341,0.00218774
5,9.4,10.4,5.80734e+09,2.79279e+08,2.94289e+08,0.894199,0.00242617,0.00242887
5,9.5,10.5,7.27527e+09,4.05695e+08,4.31233e+08,0.89456,0.0026894,0.00271957
5,9.6,10.6,8.85736e+09,5.52871e+08,5.88441e+08,0.894847,0.00298169,0.00302319
5,9.7,10.7,1.14485e+10,8.48927e+08,9.21338e+08,0.895061,0.00337449,0.00341405
5,9.8,10.8,1.41475e+10,1.22565e+09,1.36679e+09,0.89447,0.00367106,0.0037837
5,9.9,10.9,1.76502e+10,1.72698e+09,1.91772e+09,0.895571,0.00420586,0.0043325
5,10,11,2.15183e+10,2.40662e+09,2.71612e+09,0.894915,0.00466448,0.00462316
5,10.1,11.1,2.84528e+10,3.70568e+09,4.35667e+09,0.894484,0.00605821,0.00605504
5,10.2,11.2,3.69601e+10,5.90077e+09,7.21179e+09,0.894394,0.00678479,0.0069555
5,10.3,11.3,4.20423e+10,6.8854e+09,8.53197e+09,0.892625,0.00761687,0.00785913
5,10.4,11.4,5.03737e+10,8.85678e+09,1.09093e+10,0.894643,0.00871694,0.0087957
5,10.5,11.5,6.25548e+10,1.14146e+10,1.41491e+10,0.889806,0.00999349,0.0101938
5.03809,7.5,8.5,8.85336e+07,529793,536385,0.56186,0.00127335,0.00127967
5.03809,7.6,8.6,1.09412e+08,722824,725082,0.596988,0.0013714,0.00135467
5.03809,7.7,8.7,1.34451e+08,981161,987594,0.631736,0.00140221,0.00141425
5.03809,7.8,8.8,1.68449e+08,1.3594e+06,1.36294e+06,0.668716,0.00146014,0.00146255
5.03809,7.9,8.9,2.11421e+08,1.88618e+06,1.89449e+06,0.703952,0.00148831,0.00152033
5.03809,8,9,2.65159e+08,2.63983e+06,2.65742e+06,0.735874,0.0015198,0.00152982
5.03809,8.1,9.1,3.32489e+08,3.68639e+06,3.7139e+06,0.765367,0.00149813,0.00150392
5.03809,8.2,9.2,4.13049e+08,4.99961e+06,5.06703e+06,0.789808,0.0015105,0.00148607
