#mass ratio in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5,7.5,8.5,8.85134e+07,531319,538956,0.755894,0.0017906,0.00180289
5,7.6,8.6,1.0949e+08,723960,730286,0.762791,0.00184861,0.0018515
5,7.7,8.7,1.34422e+08,983404,976034,0.769418,0.0019199,0.00191626
5,7.8,8.8,1.68255e+08,1.35253e+06,1.36124e+06,0.775881,0.00204754,0.00204013
5,7.9,8.9,2.11675e+08,1.8942e+06,1.88824e+06,0.782646,0.00220154,0.00220158
5,8,9,2.65518e+08,2.62967e+06,2.65581e+06,0.786983,0.00238223,0.00239763
5,8.1,9.1,3.32314e+08,3.65006e+06,3.68067e+06,0.792027,0.002616,0.00260342
5,8.2,9.2,4.14714e+08,5.01325e+06,5.02888e+06,0.795144,0.00285992,0.00286631
5,8.3,9.3,5.23136e+08,7.15282e+06,7.20639e+06,0.797067,0.00319271,0.00316558
5,8.4,9.4,6.50735e+08,9.7325e+06,9.79963e+06,0.798298,0.00348926,0.00347653
5,8.5,9.5,8.1012e+08,1.35755e+07,1.37572e+07,0.800874,0.00386044,0.00385711
5,8.6,9.6,1.01337e+09,1.90088e+07,1.92365e+07,0.80352,0.00426436,0.00422631
5,8.7,9.7,1.26776e+09,2.68373e+07,2.72642e+07,0.804047,0.0046996,0.00470758
5,8.8,9.8,1.56703e+09,3.64421e+07,3.71004e+07,0.804614,0.0051084,0.00513296
5,8.9,9.9,1.96258e+09,5.21045e+07,5.27909e+07,0.803419,0.00578088,0.00581706
5,9,10,2.45756e+09,7.25631e+07,7.39257e+07,0.805393,0.0066101,0.006594
5,9.1,10.1,3.11776e+09,1.07228e+08,1.10856e+08,0.801742,0.00746026,0.00745336
5,9.2,10.2,3.83068e+09,1.45742e+08,1.51293e+08,0.800862,0.00853548,0.00850436
5,9.3,10.3,4.75384e+09,1.99747e+08,2.05512e+08,0.797524,0.00988716,0.00980929
5,9.4,10.4,5.80798e+09,2.78908e+08,2.94562e+08,0.795078,0.0111633,0.0110648
5,9.5,10.5,7.27474e+09,4.04913e+08,4.33223e+08,0.791994,0.0132374,0.0130386
5,9.6,10.6,8.85704e+09,5.54839e+08,5.9168e+08,0.788575,0.0149333,0.0148931
5,9.7,10.7,1.14489e+10,8.48042e+08,9.23412e+08,0.781958,0.0181737,0.0182116
5,9.8,10.8,1.41462e+10,1.23354e+09,1.35966e+09,0.777923,0.0212884,0.021423
5,9.9,10.9,1.76482e+10,1.71865e+09,1.92201e+09,0.779754,0.0237612,0.023341
5,10,11,2.15238e+10,2.3938e+09,2.70543e+09,0.778421,0.027069,0.026194
5,10.1,11.1,2.84473e+10,3.68093e+09,4.38054e+09,0.777588,0.0321593,0.030593
5,10.2,11.2,3.6982e+10,5.95759e+09,7.18922e+09,0.761598,0.0393275,0.0373964
5,10.3,11.3,4.20142e+10,6.91004e+09,8.51997e+09,0.762388,0.0462145,0.0429112
5,10.4,11.4,5.04223e+10,8.83782e+09,1.08302e+10,0.764349,0.0549269,0.0500684
5,10.5,11.5,6.26255e+10,1.1528e+10,1.40665e+10,0.783677,0.0648808,0.057675
5.03809,7.5,8.5,8.8533e+07,535885,535498,0.753833,0.00178016,0.00177942
5.03809,7.6,8.6,1.09413e+08,726479,720991,0.760971,0.0018528,0.00185195
