#(1+z) ratio in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_median,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",median (1+z) ratio in the bin,"1sigma error of (1+z) ratio, lower end","1sigma error of (1+z) ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5,7.5,8.5,8.76046e+07,591112,595212,1.08459,0.00102314,0.000742148
5,7.6,8.6,1.08828e+08,807766,809595,1.08595,0.000655202,0.000494384
5,7.7,8.7,1.35745e+08,1.11208e+06,1.12751e+06,1.08659,0.000590749,0.000607795
5,7.8,8.8,1.69531e+08,1.53255e+06,1.55524e+06,1.08656,0.000567476,0.000548117
5,7.9,8.9,2.13306e+08,2.13954e+06,2.16291e+06,1.08641,0.000517897,0.000457873
5,8,9,2.6679e+08,2.94257e+06,3.00339e+06,1.08621,0.000479049,0.00057118
5,8.1,9.1,3.33872e+08,4.07438e+06,4.15252e+06,1.08596,0.000536863,0.000510153
5,8.2,9.2,4.15153e+08,5.63297e+06,5.67004e+06,1.08576,0.00055293,0.00050997
5,8.3,9.3,5.21517e+08,7.85541e+06,8.02548e+06,1.08596,0.000553321,0.000527891
5,8.4,9.4,6.50897e+08,1.08461e+07,1.102e+07,1.08617,0.000546357,0.000536838
5,8.5,9.5,8.03692e+08,1.49251e+07,1.52906e+07,1.0865,0.000525976,0.000474601
5,8.6,9.6,1.01518e+09,2.16365e+07,2.1877e+07,1.08653,0.000571969,0.000551952
5,8.7,9.7,1.26459e+09,2.9944e+07,3.03773e+07,1.08666,0.00065307,0.000547438
5,8.8,9.8,1.55077e+09,4.01994e+07,4.13439e+07,1.08679,0.00067023,0.000542233
5,8.9,9.9,1.94159e+09,5.7057e+07,5.86534e+07,1.08696,0.000629825,0.000682802
5,9,10,2.42405e+09,8.04083e+07,8.35189e+07,1.08719,0.000779449,0.000673978
