#mass ratio in the WTHERM simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5,7.5,8.5,8.89085e+07,532405,536169,0.564486,0.0015433,0.00155863
5,7.6,8.6,1.09545e+08,725097,732791,0.566818,0.00160423,0.00161684
5,7.7,8.7,1.34401e+08,976052,981819,0.570231,0.00167243,0.00167216
5,7.8,8.8,1.68228e+08,1.34999e+06,1.35083e+06,0.573261,0.00178341,0.00179225
5,7.9,8.9,2.11601e+08,1.89061e+06,1.91432e+06,0.577258,0.00193868,0.00194153
5,8,9,2.65407e+08,2.63399e+06,2.63846e+06,0.579855,0.00210503,0.00211361
5,8.1,9.1,3.32178e+08,3.64005e+06,3.66183e+06,0.584074,0.00235973,0.00235194
5,8.2,9.2,4.14677e+08,5.02606e+06,5.05439e+06,0.587823,0.00260171,0.00260268
5,8.3,9.3,5.22977e+08,7.12496e+06,7.18705e+06,0.592262,0.00291303,0.00294886
5,8.4,9.4,6.50097e+08,9.70484e+06,9.83883e+06,0.59692,0.00331347,0.00330388
5,8.5,9.5,8.0978e+08,1.36029e+07,1.37461e+07,0.603596,0.00364342,0.00364177
5,8.6,9.6,1.01261e+09,1.89848e+07,1.93236e+07,0.610951,0.00407709,0.00407852
5,8.7,9.7,1.26787e+09,2.69231e+07,2.73248e+07,0.615216,0.00454869,0.00454973
5,8.8,9.8,1.56609e+09,3.66696e+07,3.72158e+07,0.619029,0.00498877,0.00498175
5,8.9,9.9,1.96276e+09,5.17958e+07,5.35675e+07,0.621666,0.00554216,0.00558982
5,9,10,2.45872e+09,7.30601e+07,7.49717e+07,0.624425,0.00627627,0.00629652
5,9.1,10.1,3.12114e+09,1.07624e+08,1.10983e+08,0.62496,0.007202,0.00717939
5,9.2,10.2,3.83609e+09,1.46221e+08,1.50535e+08,0.627913,0.00834499,0.00829561
5,9.3,10.3,4.74491e+09,1.94788e+08,2.06494e+08,0.631392,0.00949617,0.00943729
5,9.4,10.4,5.78899e+09,2.76972e+08,2.93425e+08,0.634395,0.0108848,0.0108062
5,9.5,10.5,7.26036e+09,4.06237e+08,4.33877e+08,0.6387,0.0129068,0.0127825
5,9.6,10.6,8.84324e+09,5.58763e+08,5.94833e+08,0.639333,0.0146214,0.0147218
5,9.7,10.7,1.14473e+10,8.57391e+08,9.28941e+08,0.641664,0.0179992,0.0179758
5,9.8,10.8,1.41031e+10,1.23689e+09,1.35472e+09,0.648304,0.0207028,0.0208734
5,9.9,10.9,1.76334e+10,1.73809e+09,1.94651e+09,0.655954,0.0240229,0.0235018
5,10,11,2.15372e+10,2.41341e+09,2.73791e+09,0.659642,0.0267201,0.026203
5,10.1,11.1,2.85378e+10,3.74987e+09,4.41891e+09,0.667026,0.0335599,0.0326203
5,10.2,11.2,3.7211e+10,6.0062e+09,7.28868e+09,0.663862,0.0400842,0.0389216
5,10.3,11.3,4.20367e+10,6.94792e+09,8.51918e+09,0.671382,0.0451485,0.0435352
5,10.4,11.4,5.04181e+10,8.90096e+09,1.08261e+10,0.686689,0.0515644,0.0492239
